id,sonde_event_id,Date,Time,Temp,SpCond,DO
,5,2003-10-10,12:30:00,15.0,267,8.91
,5,2003-10-10,12:34:00,15.01,270,9.14
,5,2003-10-10,12:38:00,15.0,271,9.13
,5,2003-10-10,12:42:00,15.02,271,9.12
,5,2003-10-10,12:46:00,15.04,272,9.12
,5,2003-10-10,12:50:00,15.06,273,9.11
,5,2003-10-10,12:54:00,15.09,273,9.09
,5,2003-10-10,12:58:00,15.12,273,9.08
,5,2003-10-10,13:02:00,15.14,274,9.06
,5,2003-10-10,13:06:00,15.14,274,9.08
,5,2003-10-10,13:10:00,15.16,274,9.06
,5,2003-10-10,13:14:00,15.16,274,9.06
,5,2003-10-10,13:18:00,15.19,275,9.06
,5,2003-10-10,13:22:00,15.22,275,9.06
,5,2003-10-10,13:26:00,15.26,275,9.06
,5,2003-10-10,13:30:00,15.29,276,9.05
,5,2003-10-10,13:34:00,15.26,276,9.04
,5,2003-10-10,13:38:00,15.31,276,9.04
,5,2003-10-10,13:42:00,15.32,276,9.03
,5,2003-10-10,13:46:00,15.33,276,9.05
,5,2003-10-10,13:50:00,15.35,276,8.95
,5,2003-10-10,13:54:00,15.38,276,8.95
,5,2003-10-10,13:58:00,15.38,276,8.94
,5,2003-10-10,14:02:00,15.35,276,8.94
,5,2003-10-10,14:06:00,15.35,276,8.94
,5,2003-10-10,14:10:00,15.34,276,8.96
,5,2003-10-10,14:14:00,15.34,276,8.94
,5,2003-10-10,14:18:00,15.39,276,8.95
,5,2003-10-10,14:22:00,15.42,276,8.92
,5,2003-10-10,14:26:00,15.45,277,8.93
,5,2003-10-10,14:30:00,15.46,277,8.93
,5,2003-10-10,14:34:00,15.43,277,8.78
,5,2003-10-10,14:38:00,15.42,277,8.86
,5,2003-10-10,14:42:00,15.44,277,8.8
,5,2003-10-10,14:46:00,15.46,277,8.79
,5,2003-10-10,14:50:00,15.45,277,8.93
,5,2003-10-10,14:54:00,15.44,277,8.87
,5,2003-10-10,14:58:00,15.45,277,8.94
,5,2003-10-10,15:02:00,15.48,278,8.92
,5,2003-10-10,15:06:00,15.5,278,8.89
,5,2003-10-10,15:10:00,15.49,278,8.89
,5,2003-10-10,15:14:00,15.49,278,8.85
,5,2003-10-10,15:18:00,15.51,278,8.85
,5,2003-10-10,15:22:00,15.52,278,8.81
